nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper,Altbier,Barleywine,Blonde,Duppel,Quadrupel,Tripel,Cider,Fruit,IPA,Kölsch,Lager,Non-Alcoholic,Pilsner,Porter,Wheat,Sour,Stout,Ale,Other
56,5586581,Mad Scientist,Bonfires Burning Bright,Barleywine - American,https://untappd.com/b/mad-scientist-bonfires-burning-bright/5586581,9.0,N/A,4.02,309,10/30/23,"MAD SCIENTIST BARREL PROJECT Martinique Rum Barrel Aged Barley Wine With Caramel, Pumpkin And Pumpkin Spice Blend CELLAR MASTER NOTES“Build a man a fire, and he'll be warm for a day. Set a man on fire, and he'll be warm for the rest of his life.”Oh, dang, here we go again with a special blend that started out as a one-time-keg-only drop. But since we're going down this way, we got a decent amount of superb quality pumpkin and spiced up the season with this sweet, caramelly, woody, bit vegetal craziness in bottles as well. The Martinique rum barrel itself gave much spiciness, but the kind of misfits we are, we totally embrace the “a little more can't hurt” philosophy. So just treat yourself and taste our non-typical festive release before the lights go out. ",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5798905,Mad Scientist,Mr. Wonderful,Barleywine - American,https://untappd.com/b/mad-scientist-mr-wonderful/5798905,10.2,N/A,4.01,257,04/22/24,"MAD SCIENTIST BARREL PROJECTRye Bourbon Barrel-Aged Caramel Barleywine With Pistachios, Orange And Lemon Zests, VanillaCELLAR MASTER NOTES""Why you think I'm out here actin' crazy?""Our brand new creation is rising high with the flavors of the baklava, the galaxy’s most beloved dessert. A massively caramelly sweetness as a backbone shows the mild spiciness of rye and oak, while the dominating tasting note comes from the roasted pistachios, nicely balanced out by the citrus zests, so the final product won't be too sticky. Already thinking about another version focusing more on the chocolaty notes... Who knows? Life is crazy. ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4289754,Mad Scientist,Liquid Florentine,Barleywine - American,https://untappd.com/b/mad-scientist-liquid-florentine/4289754,12.0,N/A,3.94,186,04/30/21,"MAD SCIENTIST BARREL PROJECTBarley Wine aged in Bourbon Barrel with hand-roasted Almond, Orange, Cocoa Beans, Orange Zest and SaltCELLAR MASTER NOTESMirror mirror on the wall, give Florentine to all!This time it seems like we managed to create the universal cookie beer because, despite Florentine being the main inspiration, every single one of us in the brewery was reminded of a different sweet treat after tasting: fruit bread, orange sponge cake, Sacher-cake, Túró Rudi (just Google this curd snack), you know the drill. What's for sure is that we've added a copious amount of hand-roasted almond as a backbone, hit on the taste and created acidity with orange, used the bitter greatness of cocoa and rounded it up with a hint of salt. The result can hardly be described in a written form, but if you are into pastry-inspired but not overwhelmingly sweet beers, this one will eat you alive. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3617330,Mad Scientist,Bourbon & Bourbon,Barleywine - American,https://untappd.com/b/mad-scientist-bourbon-and-bourbon/3617330,13.5,N/A,3.9,163,01/07/20,"MAD SCIENTIST BARREL PROJECT Bourbon Whiskey barrel aged barleywine with Bourbon barrel aged coffee and maple syrup CELLAR MASTER NOTES This beer is special due to the addition of Bourbon Barrel aged coffee. This is the first release, where the inspiration didn't come from the base beer, nor the barrel, but the extra addition. Beer and barrel were selected after choosing the Bourbon BA coffee. The nose and taste are dominated by the fruity notes of lightly roasted coffee complemented by cinnamon and caramel notes of the maple syrup barlywine and Bourbon barrel. ",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3520686,MONYO Brewing Co.,Franky (2019),Barleywine - English,https://untappd.com/b/monyo-brewing-co-franky-2019/3520686,11.5,N/A,3.88,735,11/08/19,"Barley wine-unk, a Franky 2019-es évjárata. A stílusra jellemző komplex és intenzív malátás jegyek jellemzik, valamint nagy test és viszkózus kortyérzet. Ízében és illatában a dió, a melasz és az aszalt gyümölcsök dominálnak, de melegítés hatására előbújnak a juharszirupos-karamellás aromák is. Kiváló téli sör, magas érlelési potenciállal.-----The vintage 2019 version of our barley wine, Franky. Full-bodied with a viscous mouthfeel. Complex maltiness, with notes of dried fruits, walnut, maple syrup and molasses. Perfect for the winter season. Cellarable. ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4222515,Mad Scientist,Walrus 2: The Revenge Of The 'Nuss,Barleywine - Other,https://untappd.com/b/mad-scientist-walrus-2-the-revenge-of-the-nuss/4222515,13.0,N/A,4.04,430,03/15/21,"MAD SCIENTIST BARREL PROJECTA blend of Four Roses and Knob Creek Rye bourbon barrel-aged barley wines with in house-roasted walnut and vanillaCELLAR MASTER NOTESThe Walrus is back in town and this time he totally GOES NUTSWhen we experimented with 'I am The Walnut' a decision was made that besides the beast we have to create his evil twin: a darker, older, but still gentle brother. So we put tons and tons of hand-roasted walnuts into two different barrels of barley wine and rounded it up with vanilla. A sequel from an alternative universe! As a result, this bad boy has the chocolaty-nutty notes of walnut, that go just perfectly with the woody-spicy bourbon feel. And yes, you can say it's boring to say this (again), but in our opinion, this is our best one so far: revenge has never tasted this good! Like a good-old VHS blockbuster, you want to check it again, again and again. ",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4036586,Mad Scientist,I Am the Walnut,Barleywine - Other,https://untappd.com/b/mad-scientist-i-am-the-walnut/4036586,12.5,N/A,3.97,177,11/02/20,"MAD SCIENTIST BARREL PROJECTJamaican rum barrel-aged barleywine with walnut, mahlep and tonka beansCELLAR MASTER NOTESIf you search carefully you may find traces of beer in this liquid walnut syrup.We experimented a lot with spice additions while working on this release to find the perfect combination. Finally, the interplay of walnut, tonka and mahlep came out as the winner combo.Yes, I know your question and the answer is: mahlep is an aromatic spice made from the seeds of a species of cherry providing the characteristics of bitter almond, cherry and marzipan. These notes perfectly match with the deep-woody walnut savors and the vibrating spiciness of tonka that strengthens up the presence of barrel-inflicted flavors. ",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5809774,Mad Scientist,Tiny Barrel Project Old King Clancy Bourbon,Barleywine - Other,https://untappd.com/b/mad-scientist-tiny-barrel-project-old-king-clancy-bourbon/5809774,10.2,N/A,3.97,514,05/01/24,"From OLD KING CLANCY 2017 Maple Syrup Barleywine to OLD KING CLANCY 2022 Maple Syrup Barleywine, here's TINY BARREL PROJECT OLD KING CLANCY BOURBON Clermont Springs Bourbon Barrel Aged Barleywine with our friends TEYFÖL (Szentendre, Hungary) Bistro Here's our 7th TINY BARREL PROJECT release (and the 2nd in 2024) within our recently introduced category between the Specials series and Barrel Project in 330ml cans, dropping on the 10th of May, 2024 celebrating TEYFÖL's 1st Birthday! ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6272908,Mad Scientist,Mayhem Of Mash,Barleywine - Other,https://untappd.com/b/mad-scientist-mayhem-of-mash/6272908,12.0,N/A,3.96,406,05/21/25,"MAD SCIENTIST BARREL PROJECT collab with our old friend Mario from Bådin Bryggeri (NO)A Blend Of Bourbon Barrel-aged Caramel Barleywine And Tokaji Aszú Sweet Wine Barrel-aged RyewineCELLAR MASTER NOTESMadness? We eat mayhem for breakfast!Although we are big fans of blending barrels and beer styles, this one is a first, even for us. It’s also our debut collab with our friends at Bådin, and we went all in. We started with a highly aromatic, slightly dry ryewine aged in Hungarian Tokaji Aszú barrels as our thesis. Then we brought in the antithesis, a bold, sweet, toffee-laced barleywine straight out of a bourbon barrel. The result? A synthesis that’s not overwhelmingly sweet, but rich, spicy, and biscuit-like, with layers to get lost in. Oh, and it contains a nice mixture of grains as barley, rye, and oat, so don't worry about the 12%, technically, it still qualifies as breakfast granola. ",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5243924,Mad Scientist,Old King Clancy 2022,Barleywine - Other,https://untappd.com/b/mad-scientist-old-king-clancy-2022/5243924,10.5,N/A,3.92,1671,02/19/23,Maple Syrup Barleywine ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4796468,Mad Scientist,Great Fireballs of Fire,Barleywine - Other,https://untappd.com/b/mad-scientist-great-fireballs-of-fire/4796468,11.0,N/A,3.92,289,04/14/22,"MAD SCIENTIST BARREL PROJECTPort Wine Barrel-aged Barley Wine With Cinnamon And HoneyCELLAR MASTER NOTESOh, you cinnamonical phantasmagoria, rise now and come to life!Adding cinnamon to your beer is almost always a good idea, but this time we really wanted to create something crazy (to be honest, we do this on a daily basis). We used tons of cinnamon sticks and roasted them well, so we ended up with a more intense and sharp flavor that pairs well with the red fruity-caramelly-nutty base embracing perfectly the sweetness of the unfermented honey. Not gonna lie, it's not that hard to figure out the source of inspiration here, as we tried to get the same intense, hot, cinnamon flavors as the infamous whiskey liquor goes. If you ask us, we nailed it. ",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3791086,Mad Scientist,Lady Lockdown,Barleywine - Other,https://untappd.com/b/mad-scientist-lady-lockdown/3791086,14.5,N/A,3.92,212,05/19/20,"MAD SCIENTIST BARREL PROJECTEx-Reposado Mezcal Barrel Aged Barleywine  CELLAR MASTER NOTESThe exciting and pleasant combination of walnut, raisin, smoke and spiciness will make you wish you opened a brewery in Mexico.This surprisingly strong barleywine has sat more than a year in a reposado mezcal barrel, so enough time was given for the light smoky character and fruity spiciness, just like the oakiness of the barrel, to be soaked up. The base beer didn't come with empty hands either: the nutty, grapy and date-like tastes will get you at first sip, no matter if there's a lockdown or not. ",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5333965,FIRST Craft Beer,Bran,Barleywine - Other,https://untappd.com/b/first-craft-beer-bran/5333965,13.0,N/A,3.88,172,04/27/23,"Grain Whisky Barrel Aged BarleywinePontosan két éven keresztül pihent whiskyhordóban érlelődve első árpaborunk - és nem hiába. A barley wine természetes gyümölcsössége, mazsolás-karamellás ízvilága és a whisky gabonás, halvány édessége tökéletesen passzolnak össze egy testes, de masszívan egyedi ízekkel és illatokkal sűrűn telerakott különlegességhez. ",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,5181846,Mad Scientist,Never Ending Trails,Belgian Quadrupel,https://untappd.com/b/mad-scientist-never-ending-trails/5181846,11.5,N/A,4.0,406,12/30/22,"MAD SCIENTIST BARREL PROJECT Team Series BalázsRye Bourbon Barrel-Aged Quadruple With Roasted Nuts And Dried ApricotCELLAR MASTER NOTESYou are now holding a precious, secret potion in your hand, the kind that humanity pursues to find for thousands of years, the ultimate key to eternal life, spiced up with the sweetest nut blend ever createdIf you think we're done with all the nut additions in our beers, you are definitely wrong. Moreover, we just started to feel how berserk we can go with these energy bombs! On a decadent rye bourbon barrel-aged quadrupel base, all of these dried fruity notes are amplified with additional dried apricots as a final twist. Ideal as a snack for those daylong hikes, you know, the ones that you wish would last forever. ",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,4674701,HORIZONT Brewing,Night Shift Vintage 2021 Strong Dark Red Wine,Belgian Strong Dark Ale,https://untappd.com/b/horizont-brewing-night-shift-vintage-2021-strong-dark-red-wine/4674701,11.0,N/A,3.94,875,01/11/22,Night Shift Vintage 2021 Belgian Dark Strong Ale aged in Bock red wine barrels. ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,5645543,InVitro Brewing,OBEY (Agenda 30),Brown Ale - Imperial / Double,https://untappd.com/b/invitro-brewing-obey-agenda-30/5645543,9.0,N/A,3.86,403,12/15/23, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,3475523,MadX,Apricot & Funk,Farmhouse Ale - Other,https://untappd.com/b/madx-apricot-and-funk/3475523,6.0,N/A,3.92,559,10/11/19,Funky Farmhouse Ale with Apricots ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221,3475576,MadX,Peach & Funk,Farmhouse Ale - Other,https://untappd.com/b/madx-peach-and-funk/3475576,4.8,N/A,3.91,523,10/11/19,Funky Farmhouse Ale with Peaches ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,3758445,MadX,Pinot Sauvage,Farmhouse Ale - Other,https://untappd.com/b/madx-pinot-sauvage/3758445,7.0,N/A,3.89,511,04/21/20,Barrel Aged Golden Sour Ale with Pinot Noir Grapes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,3907560,InVitro Brewing,Terra Incognita,Farmhouse Ale - Other,https://untappd.com/b/invitro-brewing-terra-incognita/3907560,6.5,N/A,3.87,166,08/07/20,Fermented with kveik yeast and  aged in a 5 year old Hungarian oak barrel from Miklós Csabi winery for 9 months. ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,3999467,MadX,Raspberry & Funk,Farmhouse Ale - Other,https://untappd.com/b/madx-raspberry-and-funk/3999467,5.7,N/A,3.86,323,10/09/20,Funky Farmhouse Ale With Raspberries ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,4139758,MadX,Stone & Funk,Farmhouse Ale - Other,https://untappd.com/b/madx-stone-and-funk/4139758,5.4,N/A,3.86,482,01/13/21,"Funky Farmhouse Ale with Apricot, Peach and Vanilla ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,5610502,UGAR Brewery,Liquid Fruit Bread,Farmhouse Ale - Sahti,https://untappd.com/b/ugar-brewery-liquid-fruit-bread/5610502,9.4,N/A,3.87,337,11/18/23,"Sahti with apricot, juniper and spices. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
380,4429898,Brew Your Mind,Keep Dreaming,IPA - American,https://untappd.com/b/brew-your-mind-keep-dreaming/4429898,7.0,N/A,4.05,2763,07/26/21,Hazy IPA  Citra és Riwaka komlóval.Hazy IPA with Citra and Riwaka hops. ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
381,5359906,Brew Your Mind,Only Memories DDH,IPA - American,https://untappd.com/b/brew-your-mind-only-memories-ddh/5359906,7.1,N/A,4.03,1249,05/15/23,"Only Memories alapsörünk duplán hidegkomlózott verziója, melyben a recept szerinti Citra és Nelson Sauvin komlók mennyiségének másfélszeresét használjuk, két adagban hozzáadva. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
382,4725098,Brew Your Mind,Human Experiment TWENTY THREE,IPA - American,https://untappd.com/b/brew-your-mind-human-experiment-twenty-three/4725098,7.2,N/A,4.02,328,02/21/22,"Ez a sorozat a kísérletezésről szól. Egyszeri főzetek, melyek jelentősen különböznek egymástól, nem ugyanannak a sörnek az újabb főzetei. Ebben a sörben amerikai és ausztrál komlókat használtunk dupla ipa mennyiségben. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
383,3381084,Brew Your Mind,Only Memories 2020 - 2023,IPA - American,https://untappd.com/b/brew-your-mind-only-memories-2020-2023/3381084,7.1,N/A,3.99,2201,08/13/19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
384,1883659,Brew Your Mind,Money Gun,IPA - American,https://untappd.com/b/brew-your-mind-money-gun/1883659,7.5,N/A,3.98,849,12/27/16,It is a collaboration with our good friend armando_otchoa. This one is sharply bitter and comes with a blast of citrusy tropical fruit flavors. Made with more than 17g/L australian and american hops.  ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
385,5087807,Brew Your Mind,Small Dreams,IPA - American,https://untappd.com/b/brew-your-mind-small-dreams/5087807,5.5,N/A,3.96,1841,10/24/22,"Keep Dreaming IPA sörünk könnyedebb verziója, mely komlózási mennyiségben abszolút IPA kategóriába esik, alacsony alkoholfoka ellenére is. ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
386,6032628,Brew Your Mind,K.a.f.é. 2024 Edition,IPA - American,https://untappd.com/b/brew-your-mind-k-a-f-e-2024-edition/6032628,6.5,N/A,3.92,359,10/24/24,Hazy IPA amerikai komlókkal és Bányai Geisha zöld kávébabbal (nincs megpörkölve). ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
387,3813415,Brew Your Mind,All Together,IPA - American,https://untappd.com/b/brew-your-mind-all-together/3813415,7.2,N/A,3.9,160,06/05/20, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
388,5428887,Brew Your Mind,Clear Vision,IPA - American,https://untappd.com/b/brew-your-mind-clear-vision/5428887,6.0,N/A,3.89,441,07/03/23,"Trópusi gyümölcsös aromájú kevésbé ""ködös"" kinézetű frissítő, könnyedebb ital. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
389,3123485,Brew Your Mind,Human Experiment Five,IPA - American,https://untappd.com/b/brew-your-mind-human-experiment-five/3123485,7.0,N/A,3.88,213,03/13/19,"A Human Experiment egy sorozat, melynek tagjai jelentősen különböznek egymástól, nem ugyanannak a sörnek az újabb főzetei. Ez a sorozat a kísérletezésről szól.Az aktuális ÖTÖS számú tulajdonságai: egyszerű maláta profil, kedvenc komlóinkkal (Citra és Nelson). ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390,4224173,InVitro Brewing,Mahakali,IPA - American,https://untappd.com/b/invitro-brewing-mahakali/4224173,6.5,N/A,3.86,539,03/17/21,"Pouring a deep murky yellow color and tastes both dank and bright citrus, berry, peach, grassy earth, and touch of sweet that’s balanced by a rounded bitterness. The aroma mirrors the taste allowing the interplay of mosaic and a well-balanced beer to be enjoyed. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
391,5486016,Brew Your Mind,Clear Vision DDH,IPA - American,https://untappd.com/b/brew-your-mind-clear-vision-ddh/5486016,6.6,N/A,3.86,158,08/14/23,"Trópusi gyümölcsös aromájú kevésbé ""ködös"" kinézetű sörital. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
392,6286291,Brew Your Mind,K.a.f.é. 2025 Edition,IPA - American,https://untappd.com/b/brew-your-mind-k-a-f-e-2025/6286291,6.5,N/A,3.86,407,05/31/25, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
393,1804155,Brew Your Mind,Peach Please... - Vermont Edition,IPA - American,https://untappd.com/b/brew-your-mind-peach-please-vermont-edition/1804155,6.5,N/A,3.86,189,11/03/16,"After a very educational trip to Vermont US, we made a batch of our ""Peach Please..."" IPA with Vermot Ale Yeast = Conan.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
394,6170621,Brew Your Mind,Human Experiment FIFTY ONE,IPA - American,https://untappd.com/b/brew-your-mind-human-experiment-fifty-one/6170621,7.3,N/A,3.86,248,02/24/25,"Duplán hidegkomlózott West Coast IPA hangulatú sörital.Keserű, de nem bántón és nem tudod miért, de nagyon itatja magát.A Human Experiment sorozat új címkéin számunkra kedves alkotásokat mutatunk be. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
436,6496424,Brew Your Mind,Silent Shadow,IPA - Black / Cascadian Dark Ale,https://untappd.com/b/brew-your-mind-silent-shadow/6496424,6.5,N/A,3.86,604,11/17/25,Selymes kortyú modern black (fekete) IPA Citra és Nelson Sauvin komlóval és pörkölt malátás ízjegyekkel. ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
508,5736832,Brew Your Mind,Human Experiment FORTY THREE,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-forty-three/5736832,8.0,N/A,4.04,406,03/04/24,"Kísérleti sorozatunk legújabb tagja, melyben Nelson Sauvin és Kohia Nelson komlót használtunk. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
509,5789798,Brew Your Mind,Evermind w/ Nelson Sauvin,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-evermind-nelson-edition/5789798,8.2,N/A,4.03,387,04/15/24,"Sűrű, krémes, ízbomba. Citrusos, ananászos, trópusi gyümölcsös ízvilágú Imperial IPA söritalunk. Duplán hidegkomlózva és ezúttal Nelson Sauvin komló is került a második adagba. ",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
510,4544249,Brew Your Mind,Human Experiment NINETEEN,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-nineteen/4544249,8.7,N/A,4.03,353,10/11/21,"Ebbe a söritalban a német Hallertau Amarillo komlót teszteltük. Ez a sorozat a kísérletezésről szól.Egyszeri főzetek, melyek jelentősen különböznek egymástól, nem ugyanannak a sörnek az újabb főzetei. ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
511,2428388,Brew Your Mind,Double Peach Please...,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-double-peach-please/2428388,7.7,N/A,4.01,2401,12/14/17,A stronger version of our flagship IPA Peach please... ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
512,4917518,Brew Your Mind,Human Experiment TWENTY EIGHT,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-twenty-eight/4917518,9.0,N/A,4.0,329,07/04/22,"Kísérletező sorozatunk legújabb tagja, melyben nelson és citra mellett ZAPPA komlót használtunk.  ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
513,4248043,Brew Your Mind,Human Experiment FIFTEEN,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-fifteen/4248043,7.7,N/A,4.0,234,04/02/21,"Ez a sorozat a kísérletezésről szól. Egyszeri főzetek, melyek jelentősen különböznek egymástól, nem ugyanannak a sörnek az újabb főzetei. Ebben a sörben nem a szokásos élesztőnket használtuk Mosaic és Citra komlókkal.7,7% alk. 0,44l ",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
514,3123480,Brew Your Mind,Money Gun Supreme,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-money-gun-supreme/3123480,8.5,N/A,4.0,260,03/13/19, It is a collaboration with our good friend armando_otchoa. This one is sharply bitter and comes with a blast of citrusy tropical fruit flavors. Made with more than 20g/L australian and american hops. Double version of our first collaboration beer Money Gun. ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
515,4804194,Brew Your Mind,Human Experiment TWENTY FOUR,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-twenty-four/4804194,8.3,N/A,3.99,179,04/19/22,"Kísérleti sorozatunk legújabb tagja, melyben Citra és Motueka komlót használtunk.  ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
516,3888616,Brew Your Mind,Human Experiment ELEVEN,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-eleven/3888616,8.8,N/A,3.99,203,07/25/20,"Ezt a söritalt duplán hidegkomlóztuk amerikai komlókkal.Ez a sorozat a kísérletezésről szól. Egyszeri főzetek melyek jelentősen különböznek egymástól, nem ugyanannak a sörnek az újabb főzetei. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
517,4600912,Brew Your Mind,Human Experiment TWENTY,IPA - Imperial / Double,https://untappd.com/b/brew-your-mind-human-experiment-twenty/4600912,8.1,N/A,3.99,393,11/19/21,"Ez a sorozat a kísérletezésről szól. Egyszeri főzetek, melyek jelentősen különböznek egymástól, nem ugyanannak a sörnek az újabb főzetei.Ebben a sörben 4 féle amerikai komlót és a maláta mellett tönkölybúza pelyhet is használtunk. ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
