nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country,malt,hops,chocolate,german,banana,vanilla,caramel,yeast,fruit,whiskey,rhum,alcohol,gluten,barrel,rye,barley,cocoa,small/lower,big/upper,Altbier,Barleywine,Blonde,Duppel,Quadrupel,Tripel,Cider,Fruit,IPA,Kölsch,Lager,Non-Alcoholic,Pilsner,Porter,Wheat,Sour,Stout,Ale,Other
35,3336573,3bir,Citrozaik,IPA - American,https://untappd.com/b/3bir-citrozaik/3336573,6.5,40,3.86,721,07/18/19,"Prava žurka od piva se zakuvala u 3biru. Citrozaik je plod tropskih vibracija i letnje žege. Citra i Mozaik su dežurni krivci za fantastične arome, a blend 3 kvasca podiže igru na novi nivo. Recept iz budućnosti za pivo koje pravimo danas! ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,5176306,Dogma Brewery,Serbian Barrels Series No.5 - Imperial Coffee Stout,Stout - Imperial / Double Coffee,https://untappd.com/b/dogma-brewery-serbian-barrels-series-no-5-imperial-coffee-stout/5176306,11.1,10,3.86,207,12/25/22,"Number 5 in our unique BA series where we're using ONLY Serbian barrels. This time, in 27 years old Serbian Vinjak (Cognac) barrel we've put Imperial Coffee Stout. One 500L barrel & that's it ladies & gents!  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2962944,3bir,Shake,Stout - Milk / Sweet,https://untappd.com/b/3bir-shake/2962944,5.0,16,3.85,183,11/28/18,"Mlečna senzacija prefinjenih aroma koja će ti promućkati glavu! Stout, lagan i pitak, punog ukusa i bogate arome najfinije mlečne čokolade, karamele, jutarnjeg kapućina, sa slatkom jagodom u završnici. Prava poslastica! ",serbia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,4948866,Docker Brewery,Hazy Alpaca,IPA - New England / Hazy,https://untappd.com/b/docker-brewery-hazy-alpaca/4948866,6.3,N/A,3.85,1420,07/26/22,"Our new NEIPA is double dry hoped widh Idaho 7, Eldorado, Citra and Mosaic hops in a combination with verdant yeast. ",serbia,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2010000,Docker Brewery,Black Fire,Stout - Russian Imperial,https://untappd.com/b/docker-brewery-black-fire/2010000,10.0,49,3.85,517,03/24/17,"Skladno spremljena tinktura čokolade, kafe, suvih šljiva, porto vina sa čak 8 vrsta specijalnih sladova. Lekoviti balzam koji miluje dušu. Počastite se ovom poslasticom i spasite svet od kataklizme! ",serbia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1967010,Crow Brewery,Black Widow,Stout - Russian Imperial,https://untappd.com/b/crow-brewery-black-widow/1967010,9.1,60,3.84,279,02/25/17,"Black Widow is Russian Imperial Stout brewed with mix of pils, caramel malts, chocolate malt, and roast barley. ",serbia,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,2055934,Zebrew,Lollihop,IPA - New England / Hazy,https://untappd.com/b/zebrew-lollihop/2055934,6.8,60,3.84,1146,04/22/17,"Zaboravite na uzdržavanje od slatkiša, Zebrew Lollihop sa svojih 7% alkohola, ekstremnom mutnoćom i neverovatnom aromom bombona, citrusa i vanile, koje potiču od hmeljeva Citra i Simcoe, čini savršeni izbor za nadolazeće vrele dane. ",serbia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,4422743,Dogma Brewery,5th Anniversary Beer #1 - Double Hoptopod,IPA - Imperial / Double,https://untappd.com/b/dogma-brewery-5th-anniversary-beer-1-double-hoptopod/4422743,8.0,75,3.84,534,07/22/21,"5 BEERS FOR 5 YEARS! #1 in our 5th Anniversary Beer edition - yes it's Double Hoptopod, an alcohol and hops upgrade of our bestseller! ",serbia,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,5053841,Dogma Brewery,Dogma In Da Streets / ENDO,IPA - New England / Hazy,https://untappd.com/b/dogma-brewery-dogma-in-da-streets-endo/5053841,7.5,45,3.84,419,10/05/22,"ENDO is the first Serbian street artist who came into this Dogma In Da Streets series which will bring you the best Serbian, regional & European street artists who will make ilustrations for our labels and will make our brewery walls a live! Every artist = one beer as his favourite style! ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,911068,Kabinet Brewery,Mikkeller Vista Milk Stout,Stout - Milk / Sweet,https://untappd.com/b/kabinet-brewery-mikkeller-vista-milk-stout/911068,5.8,50,3.83,635,12/15/14,"Milk Stout, smooth, full mouth feel. Strong body with distinctive flavours of coffee, cocoa, vanilla and tropical notes in the back, a real treat for the connoisseurs. Not for lactose intolerant. ",serbia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,6088670,Kabinet Brewery,Dip In the Dark,Stout - Imperial / Double Pastry,https://untappd.com/b/kabinet-brewery-dip-in-the-dark/6088670,9.8,30,3.83,211,12/09/24,"A 2024 version of our Imperial pastry milk stout with sour cherries, vanilla, cinnamon, plazma cookies and lactose.The idea was to mimic the taste of a cherry pie, but with a bit of a twist. ",serbia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,3487267,3bir,Memento Mori,Stout - Imperial / Double Coffee,https://untappd.com/b/3bir-memento-mori/3487267,7.0,60,3.83,2148,10/18/19,"MEMENTO MORI - Powerful stout with intense taste and wide range of aromas of Arabica coffee, raw cocoa, and dark caramel. A strong body with a silky structure of moderate bitterness will disarm you in a combination with a sweet flammable finish. By the way, did we mention that there's also OUR comic book by the same name? Darkwave Baby! ",serbia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,5056782,MEHANIKA,PROTOTYPE,IPA - New England / Hazy,https://untappd.com/b/mehanika-prototype/5056782,6.0,60,3.83,366,10/07/22,"PROTOTYPE is a strong beer.. with a strong body and a strong taste, of course and strong bitterness... a mixture of three yeasts, three types of malt and three types of hops will make you feel as if your mouth has been raped...enjoy ",serbia,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,4000616,Hog,Mjölnir,IPA - New England / Hazy,https://untappd.com/b/hog-mjolnir/4000616,6.4,50,3.83,1483,10/09/20,"Mjölnir je New England IPA, mutnija od Dunava, osvežavajuća i s kremom umesto pene.Lagano, a jako, ovo pivo je najmoćnije oružje u borbi protiv divova i unutrašnjih demona. Bez izuzetka pogađa metu i zatim se vraća u vaše ruke. Samo pružite čašu! SKÅL!  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,4786355,Dogma Brewery,Midnight Owl / Nitro Edition,Stout - Imperial / Double Coffee,https://untappd.com/b/dogma-brewery-midnight-owl-nitro-edition/4786355,9.0,30,3.82,487,04/07/22,"Yes, we like to drink this! As our Midnight owl. Super rich and roasty in aroma & flavour with creaminess from the nitro part. Be aware, as this coffee beer is ""lying"" you on every sip! And try it again.  ",serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5350387,Pulfer Brewery,Murder of Crows: Vanilla & Coffee,Stout - Imperial / Double Pastry,https://untappd.com/b/pulfer-brewery-murder-of-crows-vanilla-and-coffee/5350387,11.7,50,4.32,1066,05/08/23,"Collaboration with Brouwerij Bravoure from Netherland.Aged in Woodford Reserve & Wild Turkey bourbon barrels for over 10 months it's enriched with Guatemalan robusta coffee and Madagascar Vanilla.This blend is characterized by an immense thickness and complemented with flavors of toffee, sweet caramel, molasses, coffee, chocolate, vanilla, oak wood and figs. Aged it gracefully with love and patience. ",croatia,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,6190064,Pulfer Brewery,Hot Cakes #7,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-7/6190064,5.5,5,4.26,1355,03/14/25,"Number 7 of our Hot Cakes series brings you famous Yugoslavian car - Yugo45, filled with enormous amounts of cheesecake, nicely combined with banana, pineapple, mango, lemon,  vanilla and cinnamon. Bombaaaaaastic!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,6195243,Pulfer Brewery,Hot Cakes #8,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-8/6195243,5.5,5,4.24,1322,03/18/25,"Number 8 of our Hot Cakes series brings you once popular Yugoslavian car - Zastava 101, also called 'Stojadin', filled with immense amounts of cheesecake, combined with blueberry, sour cherry, cranberry, lemon and vanilla..Incredible!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5901588,Pulfer Brewery,Hot Cakes #6,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-6/5901588,5.5,5,4.24,1748,07/10/24,"Number 6 of our Hot Cakes series brings you the Citroen DS filled with incredibly large amounts of cheesecake, super nicely combined with sour cherry and raspberry, lemon and vanilla. Some kind of forrest fruit cake feelin'!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times. ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,6123695,Pulfer Brewery,White,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-white/6123695,5.5,5,4.24,1663,01/10/25,"We used bunch of banana pire and pineapples with lots of cocconut cream to make crazy tasty smoothie. Yup, real cocconut cream, thick and fluffy.Piña colada in the can! Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times. ",croatia,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5729394,Pulfer Brewery,Hot Cakes #4,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-4/5729394,5.5,5,4.24,1170,02/27/24,"Number 4 of our Hot Cakes series brings you the pinky Cadillac cabrio filled with incredibly large amounts of cheesecake, amazingly combined with banana, blueberry, blackberry, lemon, vanilla, and cinammon!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,5350383,Pulfer Brewery,Murder of Crows,Stout - Imperial / Double,https://untappd.com/b/pulfer-brewery-murder-of-crows/5350383,11.7,50,4.24,979,05/08/23,"Collaboration with Brouwerij Bravoure from Netherland.Aged in Woodford Reserve & Wild Turkey bourbon barrels for over 10 months, this blend is characterized by an immense thickness and complemented with flavors of toffee, sweet caramel, molasses, chocolate, vanilla, oak wood and figs.Aged it gracefully with love and patience. ",croatia,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,5590940,Pulfer Brewery,Smoothiesh: Where Do Pirates Buy Their Hooks?,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-where-do-pirates-buy-their-hooks/5590940,5.5,5,4.23,1174,11/03/23,"A Parrot asked a question: Where do pirates buy their hooks?The answer to parrot's question you will find in next smoothiesh sour..Super loaded with passion fruit, pineapple, apricot and lemon zest, than twisted with coconut!Tropical fruit bomb for your mouthgasm! Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,6614521,Pulfer Brewery,Hot Cakes #12,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-12/6614521,6.0,6,4.23,859,02/26/26,"Number 12 of our Hot Cakes series brings you post-war-three-wheeler minicar Messerschmitt or Kabinenroller, filled with huge amounts of cheesecake, combined with apple, apricot, carrot, lemon, cinnamon and vanilla..Super tasty!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,6306972,Pulfer Brewery,Hot Cakes #9,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-9/6306972,6.0,5,4.22,1603,06/17/25,"Number 9 of our Hot Cakes series brings you famous Ford GT40, filled with immense amounts of cheesecake, combined with apple, banana, apricot, lemon, coconut and vanilla..Incredible!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,5901587,Pulfer Brewery,Hot Cakes #5,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-5/5901587,5.5,5,4.2,1888,07/10/24,"Number 5 of our Hot Cakes series brings you the legendary Citroen 2CV filled with incredibly large amounts of cheesecake, amazingly combined with apples, apricot, peach, lemon, vanilla, and cinammon!One of our favorite pastry series - liquid fruit cheesecake in a glass. Loaded with flavors and fricking fun!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times. ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,6123696,Pulfer Brewery,Black,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-black/6123696,5.5,5,4.2,1715,01/10/25,"Loaded with black fruits! Black currant, blackberry, black carrot, black cherry and black sour cheery... And than we added squid ink to make it more black!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times. ",croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,6007227,Pulfer Brewery,Smoothiesh: What's A Vampire Bat's Favorite Type of Fruit?,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-what-s-a-vampire-bat-s-favorite-type-of-fruit/6007227,5.5,5,4.2,1173,10/04/24,"//////////// SMOOTHIESH: WHAT'S VAMPIRE BAT'S FAVORITE TYPE OF FRUIT? /////////////Pastry smoothie sour, 5.5% alc.Super loaded with strawberry, pineapple, mango and pink guava, enchanted with frog magic and touch of vanilla, is is real smoothie treat. Gorgeously delicious ???Yummmmmmmy ? ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,6506672,Pulfer Brewery,Smoothiesh: Just-Ice !,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-just-ice/6506672,5.5,1,4.19,928,11/26/25,"The answer to Batman Koala's question is here!'What did you bring to the Party?'JUST-ICE!Super loaded with blueberry, sour cherries, blackberry and red curant, it's violet fruit bomb! Yummy!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times before you open it.THIS IS WHY WE BREW!  ",croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,4746558,Pulfer Brewery,Smoothiesh: What Day Do Chickens Hate the Most?,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-what-day-do-chicken-hate-the-most/4746558,5.5,5,4.19,1281,03/10/22,"Sweet bearded with impeccable lumberjack style Hipster Rhino on Vepspa asked a question: What day do chickens hate the most? Again, dad's joke is here, and you can find answer in new smoothiesh sour. This time we added sweet cherry, peach and twisted with chocolate! Super tasty combo, like a sweet and sour dessert in a can. Fruits with chocolate, true amazing stuff.Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times before you open it. #This is why we brew! ",croatia,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,5334739,Pulfer Brewery,Smoothiesh: How do You Call A Fat Alien?,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-how-do-you-call-a-fat-alien/5334739,5.5,5,4.18,983,04/28/23,"Another dad joke is here!A pug named Pedro is a dog astronaut who's in love with beautiful female dog, known as Lu. Also, he's a great joke teller...He asked: ""How do you call a fat Alien?"" and  you will find out the answer to his question in our new smoothie sour release.Loaded with pineapple, mango, peach and coconuts, this is a tropical tasty bomb.Like a Pina colada, sweet, sour and delicious.Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,5246589,Pulfer Brewery,Smoothiesh: Ten-tacos!,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-ten-tacos/5246589,5.5,5,4.17,880,02/22/23,"What is an octopus's favourite food? TEN-TACOS!The answer to pelican's question is here and it's delicious!Super fruity smoothie-like sour, loaded with bluebeeries and banana. Very creamy, just like blueberry yougurt or icecream. Sweet and sour, like blueberry jam, tasty as fuck, we love it! Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,6071560,Pulfer Brewery,"Handy Candy: Banana, Cherry And Sour Cherry",Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-handy-candy-banana-cherry-and-sour-cherry/6071560,5.0,5,4.17,1133,11/25/24,"Oh yeaaah, Handy Candy is back!We have continued with smoothies pastry sour series that emphasis on sweetness and the feeling of chewing candy. Sweeeeet-sour combo!Banana, sweet cherris and sour cherries makes delicious purple-ish fruit combination! Contains unfermented fruit. Drink fresh. Don't age.Gently rotate a can few times before you open it for best experience.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,5801733,Pulfer Brewery,Smoothiesh: Wasabee!,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-wasabee/5801733,5.0,5,4.16,1297,04/25/24,"And the answer to cat's question is here!What did the sushi say to the bee?Wasabee!Absurdly loaded with mango, oranges and apricots, than spiced with vanilla, this is delicious fruit monster!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,5402092,Pulfer Brewery,Smoothiesh: 1Forrest1,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-1forrest1/5402092,5.5,5,4.16,979,06/15/23,"Yet, the answer to aligator Dan's question is here!What's Forrest Gump's password? - 1Forrest1!Mega loaded with pineapples and blueberries, then twisted with chocolate to create mega thick monster smoothie sour, yummmmmy Like a real chocolate praline with fruits. Deep purple color with sweet and sour taste. Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times before you open it.THIS IS WHY WE BREW! ",croatia,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,5801730,Pulfer Brewery,Smoothiesh: What Did the Sushi Say To the Bee?,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-what-did-the-sushi-say-to-the-bee/5801730,5.0,5,4.15,1205,04/25/24,"Another hilarious joke means only one thing - the next two smoothie sours have been released!A gracious cat asked a question: What did the sushi say to the bee?An answer to this question you will find in another smoothiesh...Turbo mega loaded with banana and strawberry and spiced with coconut, this is thick and powerful smoothie. Your meal and drink in one!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,5345156,Pulfer Brewery,Smoothiesh: An Extra-cholesterol!,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-an-extra-cholesterol/5345156,5.5,5,4.15,1124,05/05/23,"The answer to astronaut Pedro's question is here... ""An extra-cholesterol!""We loaded this smoothie sour with banana, strawberry and lemon and twisted with vanilla. We wanted to achieve vanilla ice cream feeling with bursting fruity taste!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,6067341,Pulfer Brewery,Smasñata,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smasnata/6067341,5.0,5,4.14,1084,11/22/24,"A new fruity bomb in form of smoothie sour is here!You will feel crazy amounts of mango, apricot, orange and apple with pinch of vanilla. Just like piñata, you will smash this smoothie sour like kids candies! Smash, smash, smash! Like a smasñata!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate a can few times before you open it.THIS IS WHY WE BREW! ",croatia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,5171733,Pulfer Brewery,Hound Cake: Lemon Pie,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hound-cake-lemon-pie/5171733,6.0,8,4.14,950,12/22/22,"Collaboration with White Dog brewery!In our new fruited pastry sour series 'Hound Cake' we  combined a new crazy pastry stuff - cheesecake.We wanted to create real cake and pie feeling in this smoothie sour.Mega thick smoothie sour with banana, mango, pineapple, vanilla and lemon. Absolute tasty monster!Take a sip, enjoy and thank us later.GENTLY ROTATE A CAN FEW TIME BEFORE OPEN FOR BEST EXPERIENCE.Contains real fruit. Drink fresh. Don't age. Keep in refigerator.This is why we brew! ",croatia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,5239699,Pulfer Brewery,Smoothiesh: What Is An Octopus's Favourite Food?,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-what-is-an-octopus-s-favourite-food/5239699,5.5,5,4.14,994,02/17/23,"'Pelicans are among the largest flying birds. They are famous for their huge throat pouches. A pelican uses its pouch and its very long bill to scoop up fish. Pelicans do not have teeth, but they have a hook at the beak's tip and their edges are sharp and could give you a small “paper” cut. An adult pelican may eat up to 1,8 kilograms of fish per day!'Fun facts that have absolutely nothing to do with our beer, but are really cool - especially when one of those jokers is the mascot of our 'What is an octopus's favorite food? smoothie sour.Ultra mega loaded with sour and sweet cheeries and twisted with chocolate. You can get a black forrest or Schwarzwald cake feeling! Yammmy!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW! ",croatia,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,6007229,Pulfer Brewery,Smoothiesh: A Neck-tarine!,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-smoothiesh-a-neck-tarine/6007229,5.5,5,4.14,1086,10/04/24,"/////////// SMOOTHIESH: NECK-TARINE! ////////////Pastry smoothie sour, 5.5% alc.Ultra loaded with raspberry, sour cherry, sweet cherry and bluerberry, and chocolat, ridiculously flavourful! Incrediberry tasty 'legencherry' combo! ",croatia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,5977184,Pulfer Brewery,Buccaneer,Stout - Imperial / Double Pastry,https://untappd.com/b/pulfer-brewery-buccaneer/5977184,10.2,50,4.14,456,09/08/24,"Rich, deep, massive and luxurious imperial stout aged for 12 months in a bourbon barrel in which, after bourbon, rum from Martinique was also aged, finished on vanilla beans and coconut. Bet real buccaneers would enjoy that beauty ",croatia,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,5526130,Pulfer Brewery,Hot Cakes #2,Sour - Smoothie / Pastry,https://untappd.com/b/pulfer-brewery-hot-cakes-2/5526130,5.4,5,4.13,1168,09/15/23,"We got a new smoothie sour series! This time we want to implement famous cake recipes with cheesecake essence in a form of a smoothie sour. Crazy stuff indeed!Hot Cakes #2 is mega loaded with blueberry, raspberry, banana and lemon, and twisted with vanilla... Just like a forrest fruit cheesecake!Contains real fruit. Don't age. Keep in a refrigerator. Drink fresh. For best experience, gently rotate the can few times.THIS IS WHY WE BREW!  ",croatia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
