beer_text,brewery,beer
"beer kind: Barleywine - English |description: Cognac BA English Barleywine, 36° Plato, 13.8% ABV. Pamatujete si naši loňskou Zimu? Uvedli jsme ji jen v limitovaném množství se špetkou ancho chilli, ale většinu várky jsme ukryli do čerstvých sudů po koňaku, ať tam dozraje. Po dlouhém odpočinku se vrací větší, silnější a intenzivnější. Sušené švestky a karamel původního anglického barleywine teď doplnily v aroma sušené rozinky, fíkový džem, dřevitá vanilka a jemné taniny. Ty ideálně vyvažují vyšší zbytkový cukr a hutnější tělo, které dodávají impozantní plnost a přechází do příjemně hřejivého závěru. Ideální pivo ke krbu. |ABV: 13.8 |IBU: N/A |rating: 4.11",Sibeeria Brewery,Zima 2023
beer kind: Stout - Imperial / Double |description:  |ABV: 14.5 |IBU: N/A |rating: 4.1,Pivovar ZICHOVEC,Stout Willett 2023
beer kind: Lambic - Fruit |description:  |ABV: 12.7 |IBU: N/A |rating: 4.1,Wild Creatures,Resurrection 2018
"beer kind: Sour - Smoothie / Pastry |description: Pastry Sour Ale w/ Fruit, 22° Plato, 5.4% ABV. Tohle pivo je naším pokusem přivábit zpátky teplé počasí: zima už nám leze krkem, proto jsme si uvařili zatím nejexotičtější Yummy. Náš multivitamínový džus s trochou hřejivého alkoholu (než se to slunce vrátí) je spojením marakuji s růžovou guavou a trochou broskví, což ještě podtrhuje mexická vanilka. Finální výsledek je přímo definicí léta ve sklenici, která by se neztratila ani na stole se snídaní. Ne že bychom něco naznačovali, jenom informujeme.This Yummy is us trying to lure the warm weather back: sick already of the winter, we brewed our most exotic Yummy so far. The multi-vitamin juice with some warming alcohol content (for before the sun returns) combines passion fruit and pink guava with some peach, all highlighted by our favourite Mexican vanilla. The final blend is the very definition of summer in a glass and would not look inappropriate on a breakfast table. We’re not giving any hints here, just stating. |ABV: 5.4 |IBU: N/A |rating: 4.1",Sibeeria Brewery,"Yummy Pink Guava, Peach, Passion Fruit & Vanilla"
"beer kind: Sour - Smoothie / Pastry |description: Pastry Sour Ale, 24° Plato, 5.1% ABV. Letní koktejl do studené zimy! Tentokrát jsme náš pivní tank naplnili hromadami ananasu a papáji a přidali trochu kokosu a vanilky. V kombinaci se sladkým tělem má tato mňamka inspirovaná piña coladou tak daleko od piva s chutí piva, jak jen to jde. Tohle je v podstatě léto v plechovce, takže vás naladí a nadchne na letní dovolenou dlouho před příchodem skutečného léta.Temperatures outside recently rose above freezing point, so it’s obviously the right time for a summer cocktail. Long overdue, here is the new Yummy! This time we filled the tank with heaps of pineapple and papaya and added some coconut and vanilla. Combined with its chewy body, this piña colada-inspired Yummy is about as far from a beer-flavoured beer as it gets. Basically an instant summer in a can to provide a beach fix before the actual summer arrives. |ABV: 5.1 |IBU: N/A |rating: 4.09",Sibeeria Brewery,"Yummy Pineapple, Papaya & Coconut"
"beer kind: Barleywine - English |description: Bourbon Barrel Aged Barley Wine w/ Tonka & Cacao, 32° Plato, 11% ABV. Po trpělivém zrání v sudech po bourbonu letošní Zima odhaluje štědrou paletu chutí: sušené ovoce jako švestky a rozinky, jemné vanilkové tóny a bohaté vrstvy karamelizovaného sladu. Charakter sudu dodává pivu hloubku a vyzrálost, k vyváženosti a svátečnímu pocitu přispívá následné doležení s kakaovými a tonka boby. Vytříbené barley wine stvořené pro výjimečné chvíle — nebo pro to, aby proměnilo obyčejný večer v tichou oslavu.After resting patiently in bourbon barrels, this year’s Zima reveals a rich tapestry of flavours: dried fruits like plum and raisin, soft vanilla warmth, and gentle layers of caramelised malt. The barrel character lends depth and maturity, yet the beer remains smooth and surprisingly graceful. A refined barley wine crafted for meaningful moments — or for turning an ordinary evening into something quietly celebratory. |ABV: 11.0 |IBU: N/A |rating: 4.09",Sibeeria Brewery,Zima 2025
beer kind: Stout - Imperial / Double Oatmeal |description: 18 months laphroaig barrel aged |ABV: 14.5 |IBU: N/A |rating: 4.08,Pivovar ZICHOVEC,Stout Laphroaig – Barrel project
"beer kind: Stout - Imperial / Double |description: Legendární whisky skotské palírny Laphroaig si získala přízeň mnoha. Její nekompromisní chuť založená na nakuřování sladu rašelinovým kouřem cení i mnozí v našem pivovaru. Proto se stala při výběru sudu pro náš barelový projekt jasnou volbou. Náš stout se po 18 měsících staření může pyšnit opravdu silnou rašelinovou chutí.Legendary Scottish whisky distilery Laphroiag has earned respect of masses. It's uncompromising flavour based on peated malt is loved by many of our brewery colleagues and so it's always an easy choice when we are deciding what barrels to fill fo our aging project. After 18 months the peat really comes forward, rewarding ours and our customer's patience. |ABV: 14.5 |IBU: N/A |rating: 4.08",Pivovar ZICHOVEC,Stout Laphroaig 2021
"beer kind: Sour - Smoothie / Pastry |description: Pastry Sour Ale w/ Fruit, 20° Plato, 5.4% ABV. Ano, legislativně je to pořád pivo! Naše nové Yummy opět posouvá hranice o něco dál: tohle hustě sametové a agresivně fialové smoothie vzniklo spojením absurdního množství borůvkového a malinového pyré s nejtmavším javorovým sirupem, jaký jsme našli, a navrch trochou čokolády. Na svůj obsah alkoholu se pije až nebezpečně lehce. Vyzkoušeno!It doesn’t look like it, but legally it is still a beer! Our new Yummy is pushing the boundaries again a bit further: this creamy, thick, offensively purple beer-smoothie combines absurd amounts of blueberry and raspberry puree with the darkest maple syrup we could find, topped with some extra chocolate. It drinks way too easy for the ABV, so be careful. We tried that for you. |ABV: 5.4 |IBU: N/A |rating: 4.08",Sibeeria Brewery,"Yummy Blueberry, Raspberry, Chocolate & Maple Syrup"
beer kind: IPA - Imperial / Double New England / Hazy |description: 20 Platon- with Citra and Citra Cryo |ABV: 9.0 |IBU: N/A |rating: 4.08,Pivovar ZICHOVEC,More Nectar More Happiness 20
"beer kind: Stout - Imperial / Double |description: Ty nejlepší osmnáctiměsíční sudy z letošní barelové ""sklizně"" jsme použili pro letošní nejryzejší blend. Kombinace bourbonových sudů od palíren Woodford Reserve a Jim Beam vytvořila velmi komplexní, intenzivní, přesto jemnou chuť, která slouží jako deklarace našich schopností, našich preferencí a naší představy o tom, kam sahají možnosti staření v bourbonových sudech.The best 18 months old bourbon barrels of this year's barrel ""harvest"" we joined in our purest blend. We combined barrels from Woodford Reserve and Jim Beam distilleries creating a very complex, intense but still smooth flavour, that stands as a manifest to our barrel aging capabilities. |ABV: 14.5 |IBU: N/A |rating: 4.08",Pivovar ZICHOVEC,Stout Bourbon 2021
"beer kind: Sour - Other |description: Letos jsme pekli babiččin borůvkový koláč. Takový ten úžasný s drobenkou a připečenými růžky. Na ozdobu jsme přidali červený rybíz a celé to vymrazili, aby to mělo grády. Račte se zakousnout. |ABV: 11.0 |IBU: 7 |rating: 4.07",Pivovar Raven,Black Label #5: Ice Blueberry Cake Sour Ale
beer kind: Stout - Imperial / Double Coffee |description:  |ABV: 13.0 |IBU: N/A |rating: 4.07,Pivovar ZICHOVEC,Coffee Maple Sirup Stout 2025
"beer kind: Wheat Beer - Wheat Wine |description: Cílem tohoto blendu tří pšeničných piv bylo napodobit slavné v čokoládě zalité vánoční gumové bonbóny. Po 30 měsících staření v dřevěných sudech jsme tedy přidali, pomeranče, pomorančovou kůru, kakaové boby a osladili javorovým sirupem. Výsledek je velmi zábavný a překvapivě pitelný. Dizajn etikety nám propůjčila teplická multidisciplinární umělkyně Hannah Saleh.The aim of this blend of three wheat beers was to emulate the famous chocolate-covered Christmas gummies. So after 30 months of aging in wooden barrels, we added, oranges, orange peel, cocoa beans and sweetened with maple syrup. The result is very fun and surprisingly drinkable. The label design was lent to us by the Teplice-based multidisciplinary artist Hannah Saleh. |ABV: 11.0 |IBU: N/A |rating: 4.07",Pivovar ZICHOVEC,Choco Orange Jelly Wheat Wine 2024
"beer kind: Stout - Imperial / Double |description: Stupňovitost 34 / alk. 14,5 %Jedná se o imperiální stout, který ležel ve vybraných sudech po bourbonu po 18 měsíců. Chuťový prodil je velmi komplexní s tóny hořké čokolády, kávy a vanilky.  |ABV: 14.5 |IBU: N/A |rating: 4.06",Pivovar ZICHOVEC,Stout Bourbon – Barrel Project
