nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country
35,6411120,Pivovar ZICHOVEC,Coconut Tonka Stout 2025,Stout - Imperial / Double Pastry,https://untappd.com/b/pivovar-zichovec-coconut-tonka-stout-2025/6411120,13.5,N/A,4.04,306,09/13/25, ,czech-republic
36,5461431,Sibeeria Brewery,"Yummy Blackcurrant, Prunes & Tonka",Sour - Smoothie / Pastry,https://untappd.com/b/sibeeria-yummy-blackcurrant-prunes-and-tonka/5461431,6.1,N/A,4.04,2533,07/27/23,"Pastry Sour Ale w/ Blackcurrant, Prunes & Tonka, 23° Plato, 6.1% ABV. Náš nový tekutý dezert právě přichází! Kromě toho, že je toto Yummy tradičně hustě krémové, je také nádherně fialové a plné černého rybízu. Skvěle se snoubí s lehkou kouřovostí sušených švestek a bohatým aroma bobů tonka. Balancujíc mezi ovocnou sladkostí a kyselostí z mléčného kvašení, je to další pivo, která se vzpírá pivní tradici.Here comes the new liquid dessert! Besides being thick and creamy, this Yummy is gorgeously purple and crammed with blackcurrant. These pair nicely with the slight smokiness of prunes and the rich aroma of tonka beans. Balancing between fruity sweetness and sourness from lactic fermentation, this is yet another beer tradition-defying beast of a beer. ",czech-republic
37,3572069,Métaphore,Here And Now: Cherry,Wild Ale - Other,https://untappd.com/b/metaphore-here-and-now-cherry/3572069,7.5,N/A,4.04,1034,12/09/19,"Coolshipped and spontaneously fermented beer in an oak barrel for 16 months and aged further on organic local sour cherries for 12 months. In this one I am trying to capture the unique essence of one day into a beer and imprint of local terroir and layering the hand picked organic sour cherries from a local orchard. Multiple varieties of organic cherries give a really complex expression of the fruit and prolonged aging make for a deep, rich flavour. The backbone of a beer is built on local organic barley malt and raw organic spelt from the local Hare Krishna community, where they live and function in a low intervention and organic way for the last 3 decades. ",czech-republic
38,4498070,Pivovar ZICHOVEC,Coffee Stout 2021,Stout - Imperial / Double Coffee,https://untappd.com/b/pivovar-zichovec-coffee-stout-2021/4498070,13.0,N/A,4.04,599,09/10/21, ,czech-republic
39,3680070,Pivovar ZICHOVEC,Brewstock Juice 15,Kölsch,https://untappd.com/b/pivovar-zichovec-brewstock-juice-15/3680070,6.5,N/A,4.04,2006,02/18/20,Kooperační várka s pivovarem Zhůřák.  ,czech-republic
40,4847721,Sibeeria Brewery,Three Suns,IPA - Triple New England / Hazy,https://untappd.com/b/sibeeria-three-suns/4847721,9.5,N/A,4.03,693,05/19/22,"Triple NEIPA, 24° Plato, 9.5% ABV. Tentokrát jsme to pojali ve velkém. Vysoký obsah alkoholu, vysoký podíl vloček a, což je nejdůležitější, obrovské množství chmele. Tohle je nejsilnější NEIPA, jakou jsme doposud uvařili, a chtěli jsme, aby tak i chutnala. Sáhli jsme proto po kombinaci chmelů Cryo Pop, Pacific Sunrise, Motueka a Talus pro dosažení pořádného chmelového charakteru plného papáji, marakuji, liči a žlutého melounu. Tohle krémové a expresivní pivo má za cíl zaútočit na vaše smysly svou intenzitou a hezky vás zahřát.This time we went big. Big on alcohol, big on oats and, most importantly, big on hops. This is the strongest NEIPA we’ve ever brewed and we wanted it to taste that way, so we went with combination of Cryo Pop, Pacific Sunrise, Motueka and Talus for a really intense hop character dominated by papaya, lychee, passion fruit and honeydew melon pulp. This smooth and expressive beer is designed to warm you up and overwhelm all your senses with its intensity. ",czech-republic
41,4853572,Sibeeria Brewery,Pentagram,Stout - Imperial / Double,https://untappd.com/b/sibeeria-pentagram/4853572,10.5,N/A,4.03,1022,05/22/22,"Barrel Aged Imperial Stout, 27° Plato, 10.5% ABV. Pět dřevěných barelů (bourbon, sherry, whisky) tvoří tento komplexní, robustně pražený a hořký, ale zároveň jemný a harmonický stout. Pivo zrálo dlouhých 15 měsíců a charakteru dominuje aroma dýmu s nádechem slaného mořského vzduchu z whisky barelu, které vyvažují jemné vanilkové tóny bourbonu a náznak ovocného sherry. Nepospíchejte s ním – pijte ho pomalu a objevujte jeho jednotlivé vrstvy.The name is inspired by a selection of five barrels that went into this blend of wood-aged imperial stouts, where each of them plays its role. A combination of freshly emptied bourbon barrels, a whisky-filled Sherry cask and one intensely peated Islay whisky barrel that held several stouts for 15 months created a complex, oily beer. Roasty and bitter, yet smooth and harmonic, just the way we like them. The salty smokiness of the peat is balanced with light vanilla notes of bourbon and a touch of Sherry fruitiness,  creating the taste most closely resembling liquorice. That leads to a robust, intense finish with a slight warming sensation. Take your time and sip slowly to explore all of its layers. ",czech-republic
42,4082046,Sibeeria Brewery,Yummy Mango w/ Pineapple & Passion Fruit,Sour - Smoothie / Pastry,https://untappd.com/b/sibeeria-yummy-mango-w-pineapple-and-passion-fruit/4082046,7.1,N/A,4.03,343,12/03/20,"Pastry Sour Ale w/ Mango, Pineapple & Passion Fruit,  20° Plato, 7.1% ABV. Barevné spojení piva a ovocného džusu: nerozumně šílené množství manga, ananasu a marakuji je smíchané s kyselým základem, vše je zjemněné vločkami a laktózou, což nám vytváří jasně žluté smoothie pro dospělé. A colourful clash of beer and fruit juice: unreasonable amounts of mango, pineapple and passion fruit mixed with sour base smoothened by oat/wheat flakes and lactose result in brightly yellow adult smoothie. We designed our juicy tropical beer to be less cloying and more drinkable, so you can enjoy this tropical paradise in bigger gulps. ",czech-republic
43,5971830,Pivovar ZICHOVEC,Masala Chai Barley Wine 2024,Barleywine - Other,https://untappd.com/b/pivovar-zichovec-masala-chai-barley-wine-2024/5971830,11.0,N/A,4.03,587,09/05/24,"30 měsíců nám trvalo, než jsme usoudili, že jsou naše bourbonové sudy plné barley wine připravené na vyprázdnění. Toto je blend tří sudů, které jsme ochutili javorovým sirupem a směsí indického koření Masala Chai. Etiketu pro nás vytvořila nadaná výtvarnice a naše lounská sousedka Lenka Kladivová.It took us 30 months to finally decide that our bourbon barrels full of barley wine were ready to be emptied. This is a blend of three barrels that we flavored with maple syrup and a blend of Indian Masala Chai spices. The label was created for us by Lenka Kladivová, a talented artist and our neighbor from Louny. ",czech-republic
44,4100839,Many Worlds,Many Worlds Coming of Age (2019),Wild Ale - Other,https://untappd.com/b/many-worlds-many-worlds-coming-of-age-2019/4100839,7.0,15,4.03,222,12/16/20,"Many cultures golden beer aged in oak barrels with apricots.~The summer of 2019 was peculiar. As a heatwave advanced through the region of Moravia, these organic hand-picked apricots ripened astonishingly quickly, producing a lot of sweetness, yet keeping most of their sourness. This beer is a bottled timestamp of that unusual summer. ",czech-republic
45,6082266,Métaphore,I Love It When You Talk Dirty To Me,Wild Ale - Other,https://untappd.com/b/metaphore-i-love-it-when-you-talk-dirty-to-me/6082266,5.9,N/A,4.03,282,12/04/24, ,czech-republic
