nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text,country
7,4309266,ATELIER VRAI,OPEN SESAME. | pommes & disco series 5/5,IPA - Triple New England / Hazy,https://untappd.com/b/atelier-vrai-open-sesame-pommes-and-disco-series-5-5/4309266,9.5,N/A,4.18,1113,05/12/21,"Fill out the chart, stick it on your bathroom mirror, take a photo and tag us on instagram. Then scan the QR Code and dance to the beats of Celestino, one of our  favourite DJs in Frankfurt:soundcloud.com/celestinobr/sets/supportlocal ",germany
8,6220978,Sudden Death Brewing Co.,Doggo´s Delight,Sour - Fruited,https://untappd.com/b/sudden-death-brewing-co-doggo-s-delight/6220978,6.0,N/A,4.17,1680,04/09/25,Follows... ,germany
9,5597236,Sudden Death Brewing Co.,Ghastly Swamp Visions,Sour - Fruited,https://untappd.com/b/sudden-death-brewing-co-ghastly-swamp-visions/5597236,6.0,N/A,4.17,1404,11/08/23,"GHASTLY SWAMP VISIONSFruit Sour – 6% Ridden with the stench of death, harrowing hallucinations blur my eyes, as I take my last breath… Ghastly Swamp Visions is our Fruit Sour base conditioned on 400 g. / L of blueberry, blackberry, blackcurrant, and lemon purée and concentrate. We then deliquesced cinnamon, vanilla, and sea salt into this aqueous murk, giving an otherworldly phantasmal rise to this sweet and sour dark fuchsia concoction from the bog. We hope you enjoy our last Fruit Sour of the year. More to come in 2024… ",germany
10,6458265,FUERST WIACEK Berlin,Skulls and Palms,IPA - Triple New England / Hazy,https://untappd.com/b/fuerst-wiacek-berlin-skulls-and-palms/6458265,10.0,N/A,4.17,656,10/24/25,"TDH TIPA - Dry hopped with Citra, Eggers Nelson and Eggers Riwaka.Thick, juicy, sticky, syrupy, and packed to bursting point with incredible flavour — this is a MASSIVE beer. It’s heavy with intense aromas of honey, pineapple, Sour Patch Kids, nectarine, and passion fruit. The flavours are full: sticky, overripe mango, orange zest, cotton candy, a hint of kush, balancing, salty liquorice and a beautifully stick-to-your-teeth dry finish. It fizzes, pops, and bursts on your tongue like a firework — its flavours exploding across your senses with a finish that lasts longer than a performance of Faust. DO NOT MISS IT! ",germany
11,5142716,FrauGruber Brewing,Phantom Lord,Stout - Imperial / Double,https://untappd.com/b/fraugruber-brewing-phantom-lord/5142716,13.8,N/A,4.17,1472,12/02/22,Barrel Aged Imperial Stout  ,germany
12,4428747,Huisstekerij H.ertie,Chain Reaction,Lambic - Gueuze,https://untappd.com/b/huisstekerij-h-ertie-chain-reaction/4428747,5.5,N/A,4.17,554,07/25/21,Blend of Barrel Aged Alvinne Chain Reaction and Lambic from 2013 & 2014. Bottled on 05/06/2019. ,germany
13,6220981,Sudden Death Brewing Co.,Dread Moon Cove,Stout - Imperial / Double,https://untappd.com/b/sudden-death-brewing-co-dread-moon-cove/6220981,12.0,N/A,4.16,1780,04/09/25,Follows... ,germany
14,4295693,BrewHeart,Talus of Mystery and Imagination (2021),IPA - Triple New England / Hazy,https://untappd.com/b/brewheart-talus-of-mystery-and-imagination-2021/4295693,10.2,N/A,4.16,2935,05/03/21,"Powerful Triple IPA with the who's who of the hop world. Hops: Talus, Strata, Mosaic BBC, Mosaic Lupomax, Citra BBC, Citra IncognitoMalts: Barley, wheat, oat. ",germany
15,4091117,BrewHeart,Snoop Hopp,IPA - Triple New England / Hazy,https://untappd.com/b/brewheart-snoop-hopp/4091117,10.0,N/A,4.16,2600,12/09/20,"Juicy, hazy, and rich Triple IPA.Featuring some of our favorite hops: Nectaron, Strata, Citra, and Simcoe. Malts: barley, wheat, oat. ",germany
16,4534814,FUERST WIACEK Berlin,Time Collapse,IPA - Triple New England / Hazy,https://untappd.com/b/fuerst-wiacek-berlin-time-collapse/4534814,10.0,N/A,4.16,2889,10/05/21,"TIPA – Dry hopped with Strata, Motueka & Citra. ",germany
17,5354671,FUERST WIACEK Berlin,Hopsicle,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/fuerst-wiacek-berlin-hopsicle/5354671,8.0,N/A,4.16,6676,05/12/23,"DDH DIPA – Dry hopped with Citra, Motueka & Galaxy ",germany
18,5218588,Sudden Death Brewing Co.,Space Doom Vacuum,Sour - Fruited,https://untappd.com/b/sudden-death-brewing-co-space-doom-vacuum/5218588,6.0,N/A,4.16,1430,01/31/23,"Space Doom VacuumSmoothie Sour – 6,0% The Primeval One. Our ‘Big Bang’ Sour. Space Doom Vacuum cemented our standing as one of the top fruit sour brewers in Europe. This fruit bomb was conditioned on a whopping 500 g. / L of blackcurrant, sweet cherry, and sour cherry purée and concentrate, and rounded out with vanilla and sea salt. Still fresh, luxurious, and flavourful as ever. Get it while you can! ",germany
19,3208898,Huisstekerij H.ertie,Kweepeer,Lambic - Fruit,https://untappd.com/b/huisstekerij-h-ertie-kweepeer/3208898,5.0,N/A,4.16,682,05/03/19,Lambic with Quinces ,germany
20,6271579,Sudden Death Brewing Co.,Holy Diver,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-holy-diver/6271579,8.5,N/A,4.15,2288,05/19/25,"Holy Diver @somabeer collabTDH Double IPA w/ Citra, Motueka, Simcoe, Sabro – 8,5%We’re proud to present our after-birthday collab 2 / 2 with none other than Humulus Lupulus (hop) evangelists@somabeer.A SOMA-style base with Sudden Death-style hopping, Holy Diver was heavily triple dry hopped with a 2:2:1 ratio of ourselected Citra, right-on-the-plane @freestylehops CY25 Motueka (thanks again Joe!), and our selected Simcoe. It was thenblessed with dab of advanced Sabro hop products to elevate the whole to a higher place, bestowing this hop congregationwith the most marvelous bouquet of sweet citrus and tropical fruit.Dense cream yellow and saturated with hop devotion to the very last milliliter, prayers have been answered – juice for themasses, juice for the believers!hop varieties / products: selected Citra (T-90, Cryo), Motueka (T-90, SubZero Hop Kief), selected Simcoe T-90, Sabro(DynaBoost, HyperBoost ",germany
21,3136093,FrauGruber Brewing,SuperSoul,IPA - Triple New England / Hazy,https://untappd.com/b/fraugruber-brewing-supersoul/3136093,10.0,N/A,4.15,2901,03/20/19,Select and Citra BBC ,germany
22,6606460,Sudden Death Brewing Co.,Space Doom Vacuum (2026),Sour - Smoothie / Pastry,https://untappd.com/b/sudden-death-brewing-co-space-doom-vacuum-2026/6606460,5.0,N/A,4.15,808,02/19/26,"Heavily fruited Smoothie Sour with blackcurrant, sweet cherry, sour cherry.Please keep cold and gently roll can before pouring.Contains barley, wheat, oats, lactose. ",germany
23,5091360,FrauGruber Brewing,Voodoo Priest,Stout - Imperial / Double,https://untappd.com/b/fraugruber-brewing-voodoo-priest/5091360,13.8,N/A,4.14,1318,10/27/22,Imperial stout aged in cherry brandy barrels ,germany
24,3681072,Sudden Death Brewing Co.,Let´s Order A Pizza,IPA - Triple,https://untappd.com/b/sudden-death-brewing-co-let-s-order-a-pizza/3681072,10.0,N/A,4.14,3387,02/19/20,"Let´s order a Pizza - TIPA 10%Hops: Citra BBC, Galaxy, Amarillo BBC, Centenial BBC ",germany
25,678771,Huisstekerij H.ertie,Lambik Ohrwal,Lambic - Traditional,https://untappd.com/b/huisstekerij-h-ertie-lambik-ohrwal/678771,5.5,N/A,4.14,354,05/13/14,botteldatum 15-03-13blend van een Belgisch bier uit een abdij & oude en jonge Lambik ,germany
26,4267104,Sudden Death Brewing Co.,It's Friday My Dudes,IPA - Triple,https://untappd.com/b/sudden-death-brewing-co-it-s-friday-my-dudes/4267104,10.0,N/A,4.14,1682,04/15/21,"Hey you don't be lateTill death do us party right here on Crystal Lake It’s Friday my Dudes - TIPA 10%Whirlpool: Mosaic BBCDry Hop: Vic Secret, Talus, Mosaic BBC and Simcoe Cryo  ",germany
27,5998896,Sudden Death Brewing Co.,The Magic Rites At Midnight,Stout - Imperial / Double,https://untappd.com/b/sudden-death-brewing-co-the-magic-rites-at-midnight/5998896,13.4,N/A,4.14,1005,09/27/24,"Imperial Stout – 13,4%‘Great fires rage outside of this wooded sanctuaryThe embers of the ceremonial fire burn to ashI am alone here no more…’A first for us in many ways.A velvety and decadent Imperial Stout conditioned on a mountain of Italian pistachios, Tahitian vanilla beans, and fine British sea salt.Shout out to our pub kitchen team for helping us roast trays upon trays of nuts!October pre-release available exclusively on tap and in can for takeaway at Brewed Festival only. ",germany
28,4992125,FUERST WIACEK Berlin,Diamonds,Stout - Imperial / Double Pastry,https://untappd.com/b/fuerst-wiacek-berlin-diamonds/4992125,12.0,N/A,4.14,1974,08/25/22,Imperial Stout with Coconut & Hazelnut ,germany
29,6683017,Sudden Death Brewing Co.,Echoes of Collapse,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-echoes-of-collapse/6683017,8.0,10,4.13,738,04/23/26,"Citra-forward Hazy Double IPA with an undisclosed hop bill.contains: barley, wheat, oats ",germany
30,5827038,ATELIER VRAI,TEST TRACE ISOLATE | post pandemic series 4/6,IPA - Triple New England / Hazy,https://untappd.com/b/atelier-vrai-test-trace-isolate-post-pandemic-series-4-6/5827038,9.6,N/A,4.13,1098,05/13/24, ,germany
31,5167702,FUERST WIACEK Berlin,Neon Moon,IPA - Triple New England / Hazy,https://untappd.com/b/fuerst-wiacek-berlin-neon-moon/5167702,10.0,N/A,4.12,2104,12/19/22,"DDH TIPA - Dry hopped with Citra & HBC 586Neon Moon is a 10% Triple IPA collaboration with Wren House Brewing Co from Phoenix, Arizona.Drew from Wren House was with us in Berlin for the brew day and, as is collaboration brew tradition, took care of the first hop addition. We later dry hopped the beer with the ever dependable Citra and the experimental hop HBC 586. ",germany
32,6683030,Sudden Death Brewing Co.,The Thing That Does Everything,IPA - Quadruple,https://untappd.com/b/sudden-death-brewing-co-the-thing-that-does-everything/6683030,12.0,20,4.12,661,04/23/26,"Hazy Quadruple IPA with Nelson, Southern Cross, Eclipse, Citra.hop varieties / products: Nelson T-90, Southern Cross (T-90, Hop Kief), Eclipse T-90, Citra (Incognito, Spectrum, LupoMax)contains: barley, wheat, oats ",germany
33,5352162,Sudden Death Brewing Co.,Show No Mercy,IPA - Triple New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-show-no-mercy/5352162,9.5,N/A,4.12,1198,05/10/23,"SHOW NO MERCY – DDH TIPA – 9,5%“THE ULTIMATE WARRIOR IS OUT OF CONTROL!!!”Citra (T-90 and Cryo), Simcoe (T-90 and Cryo), and Warrior were Gorilla Press Slammed into this ‘80s superstar.We taste mango and citrus with a whiff of sweet flowers.  ",germany
34,2570491,ATELIER VRAI,MACADAMIA NUT PORTER /// NITRO FOAM FESTIVAL EDITION,Porter - Other,https://untappd.com/b/atelier-vrai-macadamia-nut-porter-nitro-foam-festival-edition/2570491,5.6,24,4.12,744,03/25/18,NUR AUF FESTIVALS: Unser SAMT & SEIDE Porter mit super cremigem Stickstoff-Bierschaum von Macadamia Nüssen. Malz: Gerstenmalz | Roggenmalz | Karamellmalz | Röstmalz | RauchmalzHopfen: Perle | Taurus | Bramling XHefe: Irish & London Ale ,germany
35,5351335,Sudden Death Brewing Co.,Let´s Order A Family Pizza,IPA - Quadruple,https://untappd.com/b/sudden-death-brewing-co-let-s-order-a-family-pizza/5351335,11.5,N/A,4.12,2656,05/09/23,"LET’S ORDER A FAMILY PIZZA – TDH QIPA – 11,5%Whoa! What a weekend!Our dear friends from @basquelandbrew, @beretatm, and @finbackbrewery came over for our 1st Brewery and Pub Anniversay, and we brewed a pretty crazy……double-mashed triple dry hopped quadruple IPA with five hop varietals.This monster is jam-packed with Citra (T-90, Cryo, and LupoMAX), HBC 630 (T-90 and Cryo), Pacific Jade, Hallertau Blanc, and Idaho Gem.Humongo big sticky icky sweet juice.  ",germany
36,4204969,Sudden Death Brewing Co.,Three Million Light Years From Home,IPA - Triple,https://untappd.com/b/sudden-death-brewing-co-three-million-light-years-from-home/4204969,10.0,N/A,4.12,1898,03/04/21,"Three Million Light Years from Home - TIPA 10%Hops: Tri2304CR Blends Cryo, Citra BBC, Amarillo BBCPhone Home ...nothing more to say ... on our path trough childhood memories , this one is a no brainer! We just had to do it!Unreal Label by @philip.russell ! This even might be our favorite TIPA so far too  ",germany
37,5510198,Huisstekerij H.ertie,Druiven Kriek,Lambic - Kriek,https://untappd.com/b/huisstekerij-h-ertie-druiven-kriek/5510198,6.0,N/A,4.11,448,09/02/23, ,germany
38,6083317,Sudden Death Brewing Co.,All Highs No Lows,IPA - Triple New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-all-highs-no-lows/6083317,10.0,N/A,4.11,2058,12/05/24,"All Highs No Lows // collab w/ @fuerstwiacekbrewTDH TIPA – 10,0%What happens when the two best hop-forward German breweries make a beer together?A hoppy beer.…surprise!100% hotside (mash, boil, dip) hopped with Citra; heavily triple dry hopped with Krush T-90+HyperBoost, Citra T-90+LupoMax, Mosaic, @freestylehops Peacharine.Waves and waves of pineapple, peach (duh!), kush. ",germany
39,4910384,FrauGruber Brewing,Simcoe Vibes,IPA - Triple New England / Hazy,https://untappd.com/b/fraugruber-brewing-simcoe-vibes/4910384,10.4,N/A,4.11,1173,06/30/22,Hops: YCH 301 Trial Cryo Hops ,germany
40,6636749,FUERST WIACEK Berlin,Stellar!,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/fuerst-wiacek-berlin-stellar/6636749,8.0,N/A,4.11,1588,03/16/26,"STELLAR!8% DDH DIPA - Dry hopped with Citra, Rakau & NelsonPURE JUICE, Mango, Passionfruit, Green Grape Skin Collab with Third Moon Brewing. ",germany
41,5560862,Sudden Death Brewing Co.,Harvester of Sorrow,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-harvester-of-sorrow/5560862,8.4,N/A,4.11,1658,10/11/23,"HARVESTER OF SORROWDDH India Pale Ale – 8,4% Sow, sow, sow your oats, gently down the field… merrily, merrily, merrily, merrily… scythed into a (death) dream! Harvester of Sorrow was dry hopped with Mosaic, Talus, and Simcoe. We taste sweet berry, kumquat, and kush. ",germany
42,6628990,Kreuzbräu,Möbiusschleife,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/kreuzbrau-mobiusschleife/6628990,8.0,59,4.11,404,03/10/26,"For the 8th Anniversary of Biererei Bar & Vintage Cellar we brewed this hop loaded Hazy DIPA packed with Citra, Simcoe, Idaho 7 & Mosaic. Let's drink this beer to uncountable years to come for our favorite watering hole. ",germany
43,6499171,Sudden Death Brewing Co.,Nailed Shut,IPA - Imperial / Double New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-nailed-shut/6499171,8.0,N/A,4.1,2366,11/20/25,"Nailed ShutIPA – Imperial / Double New England / Hazy8,0% - N/A IBUDouble dry hopped Hazy Double IPA with Nelson, El Dorado, Galaxy, Krush.Collaboration with some of our best mates across the North Sea in North England.Contains barley, wheat, oat ",germany
44,4285798,Blech.Brut,Gods & Monsters,IPA - Triple New England / Hazy,https://untappd.com/b/blech-brut-gods-and-monsters/4285798,9.1,N/A,4.1,1538,04/27/21,Citra | Vic Secret | Cashmere ,germany
45,4805135,Sudden Death Brewing Co.,Let´s Order A Pizza ( 2022 ),IPA - Triple New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-let-s-order-a-pizza-2022/4805135,10.0,N/A,4.1,2491,04/20/22, ,germany
46,6308949,Sudden Death Brewing Co.,Beyond Death,IPA - New England / Hazy,https://untappd.com/b/sudden-death-brewing-co-beyond-death/6308949,6.5,N/A,4.1,977,06/19/25,"Beyond Death w/ @beyondbeerDDH India Pale Ale w/ Citra, Mosaic, Nelson, Motueka – 6,5%1, 3, 5… 10!10 years of Beyond Beer! What a milestone!Beyond Death was brewed in collaboration with the team from Hamburg’s favourite bottleshop and is nothing less than an absolute hammer of an IPA.Waves and waves of juicy stonefruit, sweet and sour citrus, and that New Zealand thang our teams simply can’t get enough of.hop varieties / products: Citra T-90, Mosaic (DynaBoost, HyperBoost, Cryo), Nelson T-90, Motueka T-90. ",germany
47,6051524,FUERST WIACEK Berlin,Beer To End All Beers,IPA - Quadruple,https://untappd.com/b/fuerst-wiacek-berlin-beer-to-end-all-beers/6051524,12.0,N/A,4.1,1483,11/08/24,"Quadruple dry hopped Quadruple IPA in collaboration with HopcaveDry hopped with Citra, Mosaic & Nelson.We decided to brew our first ever QIPA to celebrate our good friend Felipe (Hopcave) reaching his 10,000th new beer (his 600th from FW) on Untappd. A feat of this magnitude deserved a beer to match and what a beer this is! Clocking in at a nerve shaking 12% this one isn't for the faint hearted. It's literally bursting with the tongue tinging tastes of the tropics; pineapple, passionfruit, mango and sharp citrus, backed up with a bold, brash booziness. So grab a can and raise a glass in salutation of Felipe and his momentous thirst for new beer. PROST ",germany
48,6349847,Sudden Death Brewing Co.,Dr. Tweak’s Peach Creeps,Sour - Fruited,https://untappd.com/b/sudden-death-brewing-co-dr-tweak-s-peach-creeps/6349847,6.5,N/A,4.1,1444,07/23/25,"Dr. Tweak’s Peach FreaksSmoothie Sour w/ peach, cherry, lemon, lime – 6,5%Deep in his underground laboratory, Doctor Tweak plays Almighty Creator ⚡ Little does he know, experimentation canlead to the most abominable of results… twin tart rings, sentient, with fangs and eyes and all!Peach Freaks is our peach ring candy-inspired sour conditioned on a healthy 350 g. / L of peach  cherry  lemon  andlime purée and juice concentrate.Tangy, sweet, and darn nostalgic fruits / adjuncts: peach, cherry, lemon, lime, sea salt. ",germany
49,3836002,Blech.Brut,Unknown Lacks Fame,IPA - Triple New England / Hazy,https://untappd.com/b/blech-brut-unknown-lacks-fame/3836002,9.5,N/A,4.1,1074,06/20/20, ,germany
0,2915525,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYU' KENTUCKY - RISERVA 2015,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-kentucky-riserva-2015/2915525,14.0,15,4.44,1776,10/28/18,"ITALIANO - Alla Xyauyù viene abbinato un prodotto dell’eccellenza agricola italiana: il tabacco Kentucky, aggiunto con infusione a freddo in barrique di rovere. Il risultato è una birra dai profumi e dai sapori decisi, ma allo stesso tempo delicati. Color oro rosso carico, priva di schiuma e gasatura, al naso offre sentori di frutta secca, ciliegia sotto spirito e tabacco macerato. In bocca gli aromi di vaniglia contrastano con la sensazione piccante, quasi di cuoio, tipica del Kentucky. ENGLISH - Teo ventures again into the world of macro-oxidation. This new exploration of taste starts from Xyauyù Oro, combined with a product of the best Italian farming: Kentucky tobacco. Using a cold infusion technique, tobacco is added to the oak barrels where the beer is kept. A unique beer is obtained, with strong and at the same time delicate scents and tastes, reminiscent of the atmosphere of past days. It has a clear, dark golden red color with brownish hues. When poured, it has no head and no gas. Scents of dried fruit and cherries in alcohol, while the sweet aroma of macerated tobacco stands out. The taste is a perfect balance between the malty flavors and the taste of tobacco. Hints of vanilla contrast the typical tangy, almost leathery notes of tobacco. A blend of tastes which gives this beer a bitter, dry finish. ",italy
1,3486591,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ KENTUCKY -RISERVA 2016,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-kentucky-riserva-2016/3486591,14.0,15,4.44,2074,10/18/19,"ITA - Un Barley Wine dal colore rosso scuro, limpido e senza schiuma. All’olfatto, note immediate di tabacco e caramello con un finale leggero di vaniglia. In bocca, la componente legnosa fa da sostegno ai toni di tabacco ben equilibrati con le note di frutta secca e cioccolato fondente.ENG -A barley wine with a dark red, bright color and no head. The scents of tobacco and caramel immediately emerge, with a final light touch of vanilla. When sipped, the wood component stands out and supports the notes of tobacco, which strike a good balance with the hints of nuts and dark chocolate. ",italy
2,2963304,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ BARREL - RISERVA 2014,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-riserva-2014/2963304,14.0,15,4.41,1612,11/28/18,"ITALIANOUna birra ad alta fermentazione che ha subito un processo di macro ossidazione e dodici mesi di maturazione in botti da rhum, che le donano un aroma ed un gusto del tutto caratteristici. Si presenta al bicchiere priva di schiuma e gasatura.ENGLISHIt represents the complex expression of Teo’s mind in the creation of his couch beers. An high fermented beer after a macro oxidation process and 12 month aging in rhum barrels, which give a natural and turbid aroma. In the glass is without cream and gas.   ",italy
3,573390,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ etichetta oro/golden label - RISERVA 2014,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-etichetta-oro-golden-label-riserva-2014/573390,14.0,15,4.41,3340,01/28/14,"ITALIANO - Una birra viva ad alta fermentazione che incontrando l’aria pura delle Langhe e riposando per lungo tempo è divenuta un prodotto nuovo, unico. All’aspetto si presenta limpida, priva di schiuma e gasatura, con un colore intenso, di tono ambrato carico e riflessi ramati. Al primo naso esprime grande intensità, emergono sentori di frutta secca e canditi con importanti e armoniose note che ci riportano al vino Madeira. XYAUYÙ, è ottima con il cioccolato e bevuta con calma a fine pasto. ENGLISH - Xyauyù is a living, top-fermented beer which – after being exposed to the air of the Langhe area and resting for a long period of time – becomes a new and unique product. When poured, it has no head and no gas; it has a clear, full amber, brownish color with copper reflections. When initially inhaled it is very intense, with aromas of dried and candied fruit and strong and harmonious notes which bring Madeira wines to mind. XYAUYÙ, is excellent with chocolate and drink slowly after a meal. ",italy
4,2997367,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ etichetta oro/ golden label- RISERVA 2015,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-etichetta-oro-golden-label-riserva-2015/2997367,14.0,15,4.4,1463,12/20/18,"ITALIANO - Prende vita dalla voglia di sperimentare di Teo. Una birra viva ad alta fermentazione che incontrando l’aria pura delle Langhe e riposando per lungo tempo è divenuta un prodotto nuovo, unico. All’aspetto si presenta limpida, priva di schiuma e gasatura con un colore ambrato pieno, di tonalità marroncina e riflessi ramati. Al primo naso esprime grande intensità dove emergono sentori di frutta secca e canditi con importanti ed armoniose note che ci riportano al vino Madeira.ENGLISH - It borns from the experimentation desire of Teo. An high fermentation beer which meet the clean Langhe air and it rests for a long period, becoming a new product. It is clear, without creamy and gas with an deep amber color. The aroma is quite deep with dried and candied fruits scents, with some wine Madeira notes. ",italy
5,3486587,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ BARREL - RISERVA 2015,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-riserva-2015/3486587,15.5,N/A,4.4,1619,10/18/19, ,italy
6,4088379,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ BARREL - RISERVA 2016,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-riserva-2016/4088379,14.0,15,4.39,1559,12/07/20,"ITA_ Limpida e con assenza di schiuma. Al naso colpisce subito il calore come di frutta sotto spirito accompagnato da toni legnosi, note di nocino, frutta matura e dattero. In bocca la sensazione principale è l’inconfondibile aroma dei grandi rum invecchiati, che si armonizza alle note tipicamente maltate di questo barley wine e ai sentori, già ben presenti al naso, di frutta sotto spirito.ENG_ The color is clear and it has no head. The nose is immediately filled with the warmth of fruit preserved in alcohol, accompanied by woody notes, walnut liqueur, ripe fruit and dates. The most distinctive taste is the unmistakable aroma of great aged rums, harmoniously blended with the typically malty notes of this barley wine and the same hints of fruit in alcohol. ",italy
7,4647833,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ BARREL - RISERVA 2017,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-riserva-2017/4647833,13.8,N/A,4.38,1339,12/20/21, ,italy
8,4096722,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ Etichetta Oro/ Golden Label- RISERVA 2016,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-etichetta-oro-golden-label-riserva-2016/4096722,14.0,13,4.38,1070,12/12/20,"Xyauyù Oro is the result of Teo's wish to experiment. It is a living, top-fermented beer which - after being exposed to the air of the Langhe area and resting for a long period of time - becomes a new and unique product. When poured, it has no head and no gas; it has a clear, full amber, brownish color with copper reflections. When initially inhaled it is very intense, with aromas of dried and candied fruit and strong and harmonious notes which bring Madeira wines to mind. Enjoy at room temperature, taking very small sips. ",italy
9,529853,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ BARREL - RISERVA 2010,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-barrel-riserva-2010/529853,14.0,15,4.38,864,12/13/13,"ITALIANO - Nasce da un “pensiero perverso” di Teo e da anni di ricerca. Una birra ad alta fermentazione che ha subito un processo di macro ossidazione e una maturazione in botti di rovere che hanno ospitato grandi rum, che le donano profumi di datteri, caramello e un delicato ricordo di legno. Al bicchiere si presenta priva di gasatura e schiuma con note di colore bruno con riflessi ramati.ENGLISH - Xyauyù Barrel is the result of a “wicked idea” of Teo’s and years of research. It is a top-fermented beer which has gone through macrooxidation and has been aged in oak rum barrels to give it scents of dates, caramel and a delicate wooden note. When poured, it has no head and no gas; it has a dark color with copper nuances. ",italy
10,829539,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendent Italian Farm Brewery,XYAUYÙ KENTUCKY -RISERVA 2014,Barleywine - Other,https://untappd.com/b/birrificio-agricolo-baladin-baladin-indipendente-italian-farm-brewery-xyauyu-kentucky-riserva-2014/829539,14.0,15,4.35,1087,10/01/14,"ITALIANO - Alla Xyauyù viene abbinato un prodotto dell’eccellenza agricola italiana: il tabacco Kentucky, aggiunto con infusione a freddo in barrique di rovere. Il risultato è una birra dai profumi e dai sapori decisi, ma allo stesso tempo delicati. Color oro rosso carico, priva di schiuma e gasatura, al naso offre sentori di frutta secca, ciliegia sotto spirito e tabacco macerato. In bocca gli aromi di vaniglia contrastano con la sensazione piccante, quasi di cuoio, tipica del Kentucky. ENGLISH - Teo ventures again into the world of macro-oxidation. This new exploration of taste starts from Xyauyù Oro, combined with a product of the best Italian farming: Kentucky tobacco. Using a cold infusion technique, tobacco is added to the oak barrels where the beer is kept. A unique beer is obtained, with strong and at the same time delicate scents and tastes, reminiscent of the atmosphere of past days. It has a clear, dark golden red color with brownish hues. When poured, it has no head and no gas. Scents of dried fruit and cherries in alcohol, while the sweet aroma of macerated tobacco stands out. The taste is a perfect balance between the malty flavors and the taste of tobacco. Hints of vanilla contrast the typical tangy, almost leathery notes of tobacco. A blend of tastes which gives this beer a bitter, dry finish. ",italy
