nr,bid,brewery,name,kind,link,abv,ibu,rating,nr_raters,adding_date,text
18,3417615,MONYO Brewing Co.,Ma Chérie Essence,Sour - Smoothie / Pastry,https://untappd.com/b/monyo-brewing-co-ma-cherie-essence/3417615,5.3,N/A,3.9,761,09/05/19,"We’re super excited to announce our second take of Ma Chérie with a double culinary twist.Meet the refreshing, tart and deep Ma Chérie Essence. Gipsy Sour Cherry Sicilian Lemon Meringue Cheesecake Oat Imperial Berliner Weisse. "
19,4388731,HORIZONT Brewing,Sour Series - Blended Barrel Aged Imperial Pastry Sour With Sour Cherries,Sour - Smoothie / Pastry,https://untappd.com/b/horizont-brewing-sour-series-blended-barrel-aged-imperial-pastry-sour-with-sour-cherries/4388731,10.0,15,3.9,667,07/01/21,Kettle soured beer aged in whiskey and rum barrel for almost a year and than refermented with sour cherries and some vanilla and cinnamon 
20,5648100,HopTails Brewery,PassionPoint,Sour - Smoothie / Pastry,https://untappd.com/b/hoptails-brewery-passionpoint/5648100,5.0,N/A,3.89,271,12/17/23,"Maracuja, Vanília, TonkababPassionfruit, Vanilla, Tonka bean "
21,6277552,Unity Bar & Brewery,Sour Cherry X Lime x Vanilla Smoothie Sour,Sour - Smoothie / Pastry,https://untappd.com/b/unity-bar-and-brewery-sour-cherry-x-lime-x-vanilla-smoothie-sour/6277552,3.8,10,3.88,214,05/24/25,"A thick, pulpy smoothie sour with loads of sour cherry puree, lime juice, and vanilla extract. Just high quality fruit puree, no bullshit. We DO NOT play the fake gelato powder game!NO LACTOSE "
22,6684810,Unity Bar & Brewery,Lychee X Strawberry Smoothie Sour,Sour - Smoothie / Pastry,https://untappd.com/b/unity-bar-and-brewery-lychee-x-strawberry-smoothie-sour/6684810,5.0,5,3.86,172,04/24/26,"A thick, pulpy smoothie sour with loads of lychee and strawberry purees.Just high quality fruit puree, no bullshit. We DO NOT play the fake gelato powder game!NO LACTOSE "
23,6264942,Mad Scientist,Yes I Like Piña Coladas,Sour - Smoothie / Pastry,https://untappd.com/b/mad-scientist-yes-i-like-pina-coladas/6264942,5.5,N/A,3.84,1121,05/15/25,Piña Colada inspired Ice Cream Smoothie Sour with Pineapple-Apricot-CoconutRoll it before you rock it! 
24,4331180,MONYO Brewing Co.,Főzdepark Farewell,Sour - Smoothie / Pastry,https://untappd.com/b/monyo-brewing-co-fozdepark-farewell/4331180,7.0,N/A,3.84,637,05/26/21,"6 év után fájó szívvel ugyan, de elhagyjuk a Főzdeparkot. Ezt a búcsút pedig szeretnénk emlékezetessé tenni. Ezért összeálltunk egy utolsó nagy kollabra a Maglódi úti főzdékkel, barátainkkal és közösen alkottuk meg a Főzdepark Farewell sört.Abban az elején megegyeztünk, hogy egy Pastry Sour Ale lesz a kiindulási alap, aztán a koncepció szerint mind a négy főzde (HopTop, Mad Scientist, Horizont, MONYO) ajánlott egy összetevőt a végső recepthez. Így született meg ez az egyszeri főzet Pastry Sour Ale málnával, citrommal, tonkababbal és vajas keksszel.Illatában intenzíven a málna jelenik meg egy kis citrusossággal, amit a tonkabab marcipános-mandulás aromája egészít ki. Ízben kiegyensúlyozott a savanyú-fanyarság és a laktózos édesség. Rengeteg málna, egy csipetnyi citrom, a lecsengése pedig szintén citromos-lime-os, savanykás és málnás. Nagy, krémes és ""laktózos"" a kortyérzet.Az eredmény szerintünk méltó lett ehhez az alkalomhoz, kóstold meg TE is! "
25,6681629,Fehér Nyúl,Smooth White Rabbit,Sour - Smoothie / Pastry,https://untappd.com/b/feher-nyul-smooth-white-rabbit/6681629,4.5,N/A,3.83,170,04/22/26,"[BPBW EXCLUSIVE] The White Rabbit Brewery should only be allowed to brew white beer, right? In an alternative universe, yeah, but we still tried. Here's our white chocolate, coconut, and banana smoothie sour.  "
26,5515911,HopTails Brewery,MangoPoint,Sour - Smoothie / Pastry,https://untappd.com/b/hoptails-brewery-mangopoint/5515911,6.5,N/A,3.83,468,09/07/23,"Mangó, Vanília, TonkababMango, Vanilla, Tonka bean "
27,5811065,MONYO Brewing Co.,MOJO WORKIN'24 Mango X Maple Syrup Pastry Sour Ale,Sour - Smoothie / Pastry,https://untappd.com/b/monyo-brewing-co-mojo-workin-24-mango-x-maple-syrup-pastry-sour-ale/5811065,6.5,N/A,3.82,452,05/02/24,"Robog tovább a MOJO WORKIN'24 széria!A sorozat következő tagja egy folyékony desszertsör, amihez rengeteg zamatos mangópürét használtunk fel, amit az édeskés juharsziruppal egészítettünk ki. A sör egy igazi pastry sour ale, vagyis egyaránt megtalálhatóak benne a savanykás és a desszertes jegyek. Mintha egy fanyar mangós szeletet leöntöttünk volna egy jó nagy adag juharsziruppal. Sűrű, krémes, komplex. De mi az a MOJO WORKIN'24 széria? Kompromisszum nélküli kraft sörök a legújabb trendeknek megfelelően. Limitált kiadású, szuperprémium sorozat, amely mindig reflektál aktuális évszakra. Ráadásul egy teljesen új és egyedi arculatba csomagoltuk őket, amelyhez egy csipetnyi aranyat is felhasználtunk.The MOJO WORKIN'24 series rolls on!The next installment in the series is a liquid dessert beer, for which we used a lot of juicy mango puree, complemented by sweet maple syrup. This beer is a true pastry sour ale, featuring both tart and dessert-like characteristics. It's as if a tangy mango slice was drenched in a generous amount of maple syrup. Thick, creamy, complex.But what is the MOJO WORKIN'24 series? Uncompromising craft beers that conform to the latest trends. A limited edition, super-premium series that always reflects the current season. Moreover, we've packaged them in a completely new and unique design, using a touch of gold. "
